x,y
0,0
0,0
0,0.00E+00
0,0
0,0
0,0
0,0
0.875,0.614697705
1,0.999999842
0,0
0.143,0
0.286,0.009226035
0.429,0.106611965
0.572,0.229113214
0.715,0.360840498
0.858,0.520245888
1,0.663761996
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.81,0.444563035
0.893,0.728826898
1,0.999999663
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.81,0.410670049
0.893,0.657072078
1,0.816362279
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.81,0.402146271
0.893,0.626420153
1,0.809448264
0,0
0,0
0,0
0,0
0,0
0.83,0.455580536
1,0.775793905
0,0
0,0
0,0
0,0
0,0
0,0
0.75,0.377233342
0.875,0.686024362
1,1.000000021
0,0
0.1,0
0.2,0.002720381
0.3,0.026523715
0.4,0.201308196
0.5,0.327805914
0.6,0.412817822
0.7,0.496469539
0.8,0.549516969
0.9,0.600524113
1,0.6311284
0,0
0.083333333,0
0.166666667,0.001300895
0.25,0.002601791
0.333333333,0.0136594
0.416666667,0.050084468
0.5,0.11577968
0.583333333,0.222453092
0.666666667,0.325223819
0.75,0.416936936
0.833333333,0.482632148
0.916666667,0.563938103
1,0.625080181
0,0
0.076923077,0
0.153846154,0.009055962
0.230769231,0.045279809
0.307692308,0.115463514
0.384615385,0.217343085
0.461538462,0.28979078
0.538461538,0.38487838
0.615384615,0.452798094
0.692307692,0.538829731
0.769230769,0.590901512
0.846153846,0.62938935
0.923076923,0.681461131
1,0.719948969
0,0
0.090909091,0
0.181818182,0.019161941
0.272727273,0.07730852
0.363636364,0.140741151
0.454545455,0.253069769
0.545454545,0.355487038
0.636363636,0.459225821
0.727272727,0.562964604
0.818181818,0.699080459
0.909090909,0.83783934
1,0.931666774
0,0
0.1,0
0.2,0.006126914
0.3,0.054266956
0.4,0.192560166
0.5,0.299781167
0.6,0.389496699
0.7,0.502406978
0.8,0.699343511
0.9,0.865645472
1,0.999999951
0,0
0.090909091,0
0.181818182,0.008944156
0.272727273,0.025043636
0.363636364,0.089441556
0.454545455,0.191404929
0.545454545,0.343455573
0.636363636,0.443630116
0.727272727,0.54738232
0.818181818,0.638612707
0.909090909,0.697644133
1,0.762042053
0,0
0.1,0
0.2,0.00672043
0.3,0.017473117
0.4,0.053315408
0.5,0.410394232
0.6,0.633512493
0.7,0.785170187
0.8,0.853942583
0.9,0.930779494
1,0.999999919
0,0
0.1,0
0.2,0.00303131
0.3,0.005052183
0.4,0.037386157
0.5,0.431456463
0.6,0.546646245
0.7,0.646679477
0.8,0.692149127
0.9,0.746712708
1,0.770963189
0,0
0.142857143,0
0.285714286,0.379445562
0.428571429,0.462312984
0.571428571,0.516831025
0.714285714,0.5648069
0.857142857,0.597517725
1,0.643312879
0,0
0.090909091,0
0.181818182,0.004375785
0.272727273,0.004375785
0.363636364,0.00583438
0.454545455,0.023337518
0.545454545,0.275674436
0.636363636,0.412782356
0.727272727,0.484253506
0.818181818,0.5717692
0.909090909,0.627195806
1,0.697208361
0,0
0.111111111,0
0.222222222,0.002988563
0.333333333,0.008965689
0.444444444,0.227130799
0.555555556,0.400467461
0.666666667,0.463227287
0.777777778,0.528975677
0.888888889,0.570815561
1,0.588746939
