date,counts,speed,state
2016/08,0,0.0,0.0
2016/09,0,0.0,0.0
2016/10,0,0.0,0.0
2016/11,0,0.0,0.0
2016/12,0,0.0,0.0
2017/01,7,0.23333333333333334,0.0
2017/02,13,0.2,0.0
2017/03,18,0.16666666666666666,0.0
2017/04,19,0.03333333333333333,0.0
2017/05,21,0.06666666666666667,1.4
2017/06,22,0.03333333333333333,1.3
2016/04,0,0.0,0.0
2016/05,0,0.0,0.0
2016/06,0,0.0,0.0
2016/07,0,0.0,0.0
2016/08,0,0.0,0.0
2016/09,0,0.0,0.0
2016/10,0,0.0,0.0
2016/11,0,0.0,0.0
2016/12,0,0.0,0.0
2017/01,2,0.06666666666666667,0.0
2017/02,27,0.8333333333333334,5.4
2017/03,56,0.9666666666666667,11.2
2017/04,87,1.0333333333333334,17.4
2017/05,137,1.6666666666666667,41.1
2017/06,173,1.2,51.9
2016/04,0,0.0,0.0
2016/05,0,0.0,0.0
2016/06,0,0.0,0.0
2016/07,0,0.0,0.0
2016/08,0,0.0,0.0
2016/09,0,0.0,0.0
2016/10,0,0.0,0.0
2016/11,0,0.0,0.0
2016/12,0,0.0,0.0
2017/01,99,3.3,19.8
2017/02,268,5.633333333333334,53.6
2017/03,520,8.4,104.0
2017/04,959,14.633333333333333,191.8
2017/05,1805,28.2,361.0
2017/06,2908,36.766666666666666,290.8
2016/04,0,0.0,0.0
2016/05,0,0.0,0.0
2016/06,0,0.0,0.0
2016/07,0,0.0,0.0
2016/08,0,0.0,0.0
2016/09,0,0.0,0.0
2016/10,0,0.0,0.0
2016/11,0,0.0,0.0
2016/12,0,0.0,0.0
2017/01,0,0.0,0.0
2017/02,0,0.0,0.0
2017/03,2,0.06666666666666667,0.0
2017/04,27,0.8333333333333334,5.4
2017/05,102,2.5,20.4
2017/06,265,5.433333333333334,53.0
2016/04,0,0.0,0.0
2016/05,0,0.0,0.0
2016/06,0,0.0,0.0
2016/07,0,0.0,0.0
2016/08,0,0.0,0.0
2016/09,1,0.03333333333333333,0.0
2016/10,8,0.23333333333333334,0.0
2016/11,33,0.8333333333333334,6.6
2016/12,65,1.0666666666666667,13.0
2017/01,110,1.5,22.0
2017/02,162,1.7333333333333334,32.4
2017/03,200,1.2666666666666666,20.0
2017/04,277,2.566666666666667,83.1
2017/05,352,2.5,105.6
2017/06,421,2.3,126.3
