기간,웃긴대학,아프리카TV,인벤,도탁스,오유,트위터,일베,이종락싸,인스티즈,네이트판,쭉빵여시
2016/03,0,0,0,0,0,0,0,0,0,0,0
2016/04,0,0,0,0,0,0,0,0,0,0,0
2016/05,0,0,0,0,0,0,0,0,0,0,0
2016/06,0,0,0,0,0,0,0,0,0,0,0
2016/07,0,0,0,0,0,0,0,0,0,0,0
2016/08,0,0,0,0,0,0,0,0,0,0,0
2016/09,0,0,0,0,0,0,0,0,0,0,0
2016/10,0,0,0,0,0,0,0,0,0,0,0
2016/11,0,0,0,0,0,0,0,0,0,0,0
2016/12,0,0,0,0,0,0,0,0,0,0,0
2017/01,0,0,0,0,0,0,0,0,0,0,0
2017/02,0,0,0,0,0,0,0,0,41.6,5.4,72.4
2017/03,0,0,0,0,0,0,0,0,89.4,11.2,208.4
2017/04,0,0,0,0,0,0,0,0,140.8,17.4,2193.6
2017/05,0,0,0,2.4,2.2,0,6.6,2,304.5,41.1,5638.5
2017/06,0,0,2,4,3.6,0,7.8,3.8,129.5,51.9,9172.8
