기간,웃긴대학,아프리카TV,인벤,도탁스,오유,트위터,일베,이종락싸,인스티즈,네이트판,쭉빵여시
2016/03,0,0,0,0,0,0,0,0,0,0,0
2016/04,0,0,0,0,0,0,0,0,0,0,0
2016/05,0,0,0,0,0,0,0,0,0,0,0
2016/06,0,0,0,0,0,0,0,0,0,0,0
2016/07,0,0,0,0,0,0,0,0,0,0,0
2016/08,0,0,0,0,0,0,0,0,0,0,0
2016/09,0,0,0,0,0,0,0,0,0,0,0
2016/10,0,0,0,0,0,0,0,0,0,0,0
2016/11,0,0,0,0,0,0,0,0,0,0,0
2016/12,0,0,0,0,0,0,0,0,0,0,1
2017/01,0,0,0,0,0,0,8,0,18,2,22
2017/02,0,0,1,0,1,0,8,0,208,27,362
2017/03,0,0,3,1,4,0,9,1,447,56,1042
2017/04,0,0,3,7,5,0,9,1,704,87,7312
2017/05,0,0,5,12,11,0,33,10,1015,137,18795
2017/06,0,0,10,20,18,0,39,19,1295,173,30576
