기간,웃긴대학,아프리카TV,인벤,도탁스,오유,트위터,일베,이종락싸,인스티즈,네이트판,쭉빵여시
2016/03,0,0,0,0,0,0,0,0,0,0,0
2016/04,0,0,0,0,0,0,0,0,0,0,0
2016/05,0,0,0,0,0,0,0,0,0,0,0
2016/06,0,1,0,0,0,0,0,0,0,0,0
2016/07,0,1,0,0,0,0,0,0,0,0,0
2016/08,0,0,0,6,0,0,0,19,0,0,42
2016/09,0,0,0,2,0,0,0,9,0,0,41
2016/10,0,1,0,3,0,0,0,7,0,0,52
2016/11,0,0,0,13,0,0,0,5,0,0,63
2016/12,0,0,0,5,0,0,0,2,0,0,60
2017/01,0,0,0,5,11,0,0,8,0,0,56
2017/02,0,3,1,8,17,0,27,6,0,0,70
2017/03,1,3,2,40,12,9,20,30,3,2,430
2017/04,14,4,36,386,68,57,139,409,15,25,850
2017/05,30,3,345,261,103,100,302,297,60,75,1064
2017/06,23,11,194,213,109,78,343,192,50,163,1015
