기간,웃긴대학,아프리카TV,인벤,도탁스,오유,트위터,일베,이종락싸,인스티즈,네이트판,쭉빵여시
2016/03,0,0,0,0,0,0,0,0,0,0,0
2016/04,0,0,0,0,0,0,0,0,0,0,0
2016/05,0,0,0,0,0,0,0,0,0,0,0
2016/06,0,0,0,0,0,0,0,0,0,0,0
2016/07,0,0,0,0,0,0,0,0,0,0,0
2016/08,0,0,0,0,0,0,0,3.8,0,0,8.4
2016/09,0,0,0,0,0,0,0,5.6,0,0,16.6
2016/10,0,0,0,0,0,0,0,3.5,0,0,27
2016/11,0,0,0,4.8,0,0,0,4,0,0,39.6
2016/12,0,0,0,5.8,0,0,0,4.2,0,0,51.6
2017/01,0,0,0,6.8,0,0,0,5,0,0,62.8
2017/02,0,0,0,8.4,5.6,0,5.4,5.6,0,0,76.8
2017/03,0,0,0,16.4,8,0,9.4,8.6,0,0,244.2
2017/04,0,2.6,7.8,140.4,32.4,13.2,55.8,148.5,0,5.4,499.2
2017/05,9,3.2,115.2,218.7,63.3,49.8,146.4,237.6,15.6,20.4,818.4
2017/06,13.6,5.4,173.4,282.6,32,73.2,249.3,295.2,25.6,53,1122.9
