기간,웃긴대학,아프리카TV,인벤,도탁스,오유,트위터,일베,이종락싸,인스티즈,네이트판,쭉빵여시
2016/03,0,0,0,0,0,0,0,0,0,0,0
2016/04,0,0,0,0,0,0,0,0,0,0,0
2016/05,0,0,0,0,0,0,0,0,0,0,0
2016/06,0,1,0,0,0,0,0,0,0,0,0
2016/07,0,2,0,0,0,0,0,0,0,0,0
2016/08,0,2,0,6,0,0,0,19,0,0,42
2016/09,0,2,0,8,0,0,0,28,0,0,83
2016/10,0,3,0,11,0,0,0,35,0,0,135
2016/11,0,3,0,24,0,0,0,40,0,0,198
2016/12,0,3,0,29,0,0,0,42,0,0,258
2017/01,0,3,0,34,11,0,0,50,0,0,314
2017/02,0,6,1,42,28,0,27,56,0,0,384
2017/03,1,9,3,82,40,9,47,86,3,2,814
2017/04,15,13,39,468,108,66,186,495,18,27,1664
2017/05,45,16,384,729,211,166,488,792,78,102,2728
2017/06,68,27,578,942,320,244,831,984,128,265,3743
