기간,웃긴대학,아프리카TV,인벤,도탁스,오유,트위터,일베,이종락싸,인스티즈,네이트판,쭉빵여시
2016/03,0,0,0,0,0,0,30,0,0,0,0
2016/04,0,0,0,0,0,0,31,0,0,0,0
2016/05,0,0,0,0,0,0,69,0,0,0,0
2016/06,0,0,0,0,0,0,76,0,0,0,0
2016/07,0,0,0,0,0,0,35,0,0,0,0
2016/08,0,2,0,0,0,0,59,0,0,0,0
2016/09,0,2,0,0,0,0,46,0,0,0,0
2016/10,0,17,4,1,0,0,102,0,0,0,0
2016/11,2,56,35,7,0,17,247,0,0,0,0
2016/12,6,101,257,23,83,26,743,4,4,0,49
2017/01,12,164,186,35,70,39,793,9,13,99,247
2017/02,11,158,125,36,59,61,842,12,132,169,809
2017/03,22,141,123,56,82,86,953,20,323,252,3784
2017/04,25,101,78,71,134,100,909,34,1087,439,9954
2017/05,30,125,75,76,194,87,1228,60,1004,846,12150
2017/06,45,94,45,92,164,80,879,52,1276,1103,12354
