기간,웃긴대학,아프리카TV,인벤,도탁스,오유,트위터,일베,이종락싸,인스티즈,네이트판,쭉빵여시
2016/03,0,0,0,0,0,0,0,0,0,0,0
2016/04,0,0,0,0,0,0,0,0,0,0,0
2016/05,0,0,0,0,0,0,20,0,0,0,0
2016/06,0,0,0,0,0,0,35.2,0,0,0,0
2016/07,0,0,0,0,0,0,21.1,0,0,0,0
2016/08,0,0,0,0,0,0,27,0,0,0,0
2016/09,0,0,0,0,0,0,31.6,0,0,0,0
2016/10,0,4.2,0,1,0,0,41.8,0,0,0,0
2016/11,0,15.4,0,0,0,0,199.5,0,0,0,0
2016/12,0,35.6,59.2,6.2,16.6,8.6,422.4,0,0,0,9.8
2017/01,4,102.6,96.4,13.2,30.6,16.4,660.3,0,0,19.8,59.2
2017/02,6.2,150,121.4,20.4,42.4,28.6,304.3,5,29.8,53.6,221
2017/03,10.6,64.1,73,31.6,58.8,45.8,399.6,9,94.4,104,1466.7
2017/04,7.8,74.2,80.8,45.8,128.4,32.9,490.5,15.8,311.8,191.8,4452.9
2017/05,10.8,86.7,88.3,61,186.6,41.6,1839.9,27.8,512.6,361,2699.3
2017/06,15.3,96.1,92.8,79.4,78.6,49.6,701.2,19.1,767.8,290.8,3934.7
