기간,웃긴대학,아프리카TV,인벤,도탁스,오유,트위터,일베,이종락싸,인스티즈,네이트판,쭉빵여시
2016/03,0,0,0,0,0,0,30,0,0,0,0
2016/04,0,0,0,0,0,0,31,0,0,0,0
2016/05,0,0,0,0,0,0,100,0,0,0,0
2016/06,0,0,0,0,0,0,176,0,0,0,0
2016/07,0,0,0,0,0,0,211,0,0,0,0
2016/08,0,2,0,0,0,0,270,0,0,0,0
2016/09,0,4,0,0,0,0,316,0,0,0,0
2016/10,0,21,4,1,0,0,418,0,0,0,0
2016/11,2,77,39,8,0,17,665,0,0,0,0
2016/12,8,178,296,31,83,43,1408,4,4,0,49
2017/01,20,342,482,66,153,82,2201,13,17,99,296
2017/02,31,500,607,102,212,143,3043,25,149,268,1105
2017/03,53,641,730,158,294,229,3996,45,472,520,4889
2017/04,78,742,808,229,428,329,4905,79,1559,959,14843
2017/05,108,867,883,305,622,416,6133,139,2563,1805,26993
2017/06,153,961,928,397,786,496,7012,191,3839,2908,39347
