date,counts,speed,state
2016/08,0,0.0,0.0
2016/09,0,0.0,0.0
2016/10,0,0.0,0.0
2016/11,0,0.0,0.0
2016/12,0,0.0,0.0
2017/01,174,5.8,0.0
2017/02,212,1.2666666666666666,0.0
2017/03,237,0.8333333333333334,0.0
2017/04,259,0.7333333333333333,0.0
2017/05,274,0.5,34.8
2017/06,295,0.7,21.2
2016/04,0,0.0,0
2016/05,0,0.0,0
2016/06,0,0.0,0
2016/07,0,0.0,0
2016/08,0,0.0,0
2016/09,0,0.0,0
2016/10,0,0.0,0
2016/11,0,0.0,0
2016/12,0,0.0,0
2017/01,0,0.0,0
2017/02,0,0.0,0
2017/03,0,0.0,0
2017/04,0,0.0,0
2017/05,0,0.0,0
2017/06,0,0.0,0
2016/04,0,0.0,0.0
2016/05,0,0.0,0.0
2016/06,0,0.0,0.0
2016/07,0,0.0,0.0
2016/08,0,0.0,0.0
2016/09,0,0.0,0.0
2016/10,0,0.0,0.0
2016/11,2,0.06666666666666667,0.0
2016/12,8,0.2,0.0
2017/01,20,0.4,4.0
2017/02,31,0.36666666666666664,6.2
2017/03,53,0.7333333333333333,10.6
2017/04,78,0.8333333333333334,7.8
2017/05,108,1.0,10.8
2017/06,153,1.5,15.3
2016/04,0,0.0,0.0
2016/05,0,0.0,0.0
2016/06,0,0.0,0.0
2016/07,0,0.0,0.0
2016/08,0,0.0,0.0
2016/09,0,0.0,0.0
2016/10,0,0.0,0.0
2016/11,0,0.0,0.0
2016/12,0,0.0,0.0
2017/01,0,0.0,0.0
2017/02,0,0.0,0.0
2017/03,1,0.03333333333333333,0.0
2017/04,15,0.4666666666666667,0.0
2017/05,45,1.0,9.0
2017/06,68,0.7666666666666667,13.6
2016/04,0,0.0,0.0
2016/05,0,0.0,0.0
2016/06,0,0.0,0.0
2016/07,0,0.0,0.0
2016/08,0,0.0,0.0
2016/09,5,0.16666666666666666,0.0
2016/10,9,0.13333333333333333,0.0
2016/11,18,0.3,0.0
2016/12,32,0.4666666666666667,6.4
2017/01,46,0.4666666666666667,9.2
2017/02,59,0.43333333333333335,11.8
2017/03,71,0.4,14.2
2017/04,84,0.43333333333333335,8.4
2017/05,108,0.8,10.8
2017/06,123,0.5,12.3
