date,counts,speed,state
2016/08,0,0.0,0.0
2016/09,0,0.0,0.0
2016/10,0,0.0,0.0
2016/11,0,0.0,0.0
2016/12,1,0.03333333333333333,0.0
2017/01,27,0.8666666666666667,0.0
2017/02,48,0.7,0.0
2017/03,66,0.6,0.0
2017/04,70,0.13333333333333333,0.0
2017/05,76,0.2,5.4
2017/06,83,0.23333333333333334,9.6
2016/04,0,0.0,0.0
2016/05,0,0.0,0.0
2016/06,0,0.0,0.0
2016/07,0,0.0,0.0
2016/08,0,0.0,0.0
2016/09,0,0.0,0.0
2016/10,0,0.0,0.0
2016/11,0,0.0,0.0
2016/12,0,0.0,0.0
2017/01,0,0.0,0.0
2017/02,0,0.0,0.0
2017/03,1,0.03333333333333333,0.0
2017/04,1,0.0,0.0
2017/05,10,0.3,2.0
2017/06,19,0.3,3.8
2016/04,0,0.0,0.0
2016/05,0,0.0,0.0
2016/06,0,0.0,0.0
2016/07,0,0.0,0.0
2016/08,0,0.0,0.0
2016/09,0,0.0,0.0
2016/10,0,0.0,0.0
2016/11,0,0.0,0.0
2016/12,4,0.13333333333333333,0.0
2017/01,13,0.3,0.0
2017/02,25,0.4,5.0
2017/03,45,0.6666666666666666,9.0
2017/04,79,1.1333333333333333,15.8
2017/05,139,2.0,27.8
2017/06,191,1.7333333333333334,19.1
2016/04,0,0.0,0.0
2016/05,0,0.0,0.0
2016/06,0,0.0,0.0
2016/07,0,0.0,0.0
2016/08,19,0.6333333333333333,3.8
2016/09,28,0.3,5.6
2016/10,35,0.23333333333333334,3.5
2016/11,40,0.16666666666666666,4.0
2016/12,42,0.06666666666666667,4.2
2017/01,50,0.26666666666666666,5.0
2017/02,56,0.2,5.6
2017/03,86,1.0,8.6
2017/04,495,13.633333333333333,148.5
2017/05,792,9.9,237.6
2017/06,984,6.4,295.2
2016/04,0,0.0,0.0
2016/05,0,0.0,0.0
2016/06,0,0.0,0.0
2016/07,0,0.0,0.0
2016/08,0,0.0,0.0
2016/09,5,0.16666666666666666,0.0
2016/10,19,0.4666666666666667,0.0
2016/11,37,0.6,7.4
2016/12,85,1.6,17.0
2017/01,131,1.5333333333333334,26.2
2017/02,179,1.6,17.9
2017/03,233,1.8,23.3
2017/04,321,2.933333333333333,32.1
2017/05,397,2.533333333333333,39.7
2017/06,427,1.0,42.7
