date,counts,speed,state
2016/08,0,0.0,0.0
2016/09,0,0.0,0.0
2016/10,30,1.0,0.0
2016/11,78,1.6,0.0
2016/12,238,5.333333333333333,0.0
2017/01,1832,53.13333333333333,0.0
2017/02,2828,33.2,6.0
2017/03,3505,22.566666666666666,15.6
2017/04,3812,10.233333333333333,47.6
2017/05,4155,11.433333333333334,366.4
2017/06,4464,10.3,565.6
2016/04,0,0.0,0.0
2016/05,0,0.0,0.0
2016/06,0,0.0,0.0
2016/07,0,0.0,0.0
2016/08,0,0.0,0.0
2016/09,0,0.0,0.0
2016/10,0,0.0,0.0
2016/11,0,0.0,0.0
2016/12,0,0.0,0.0
2017/01,8,0.26666666666666666,0.0
2017/02,8,0.0,0.0
2017/03,9,0.03333333333333333,0.0
2017/04,9,0.0,0.0
2017/05,33,0.8,6.6
2017/06,39,0.2,7.8
2016/04,31,0.03333333333333333,0.0
2016/05,100,2.3,20.0
2016/06,176,2.533333333333333,35.2
2016/07,211,1.1666666666666667,21.1
2016/08,270,1.9666666666666666,27.0
2016/09,316,1.5333333333333334,31.6
2016/10,418,3.4,41.8
2016/11,665,8.233333333333333,199.5
2016/12,1408,24.766666666666666,422.4
2017/01,2201,26.433333333333334,660.3
2017/02,3043,28.066666666666666,304.3
2017/03,3996,31.766666666666666,399.6
2017/04,4905,30.3,490.5
2017/05,6133,40.93333333333333,1839.9
2017/06,7012,29.3,701.2
2016/04,0,0.0,0.0
2016/05,0,0.0,0.0
2016/06,0,0.0,0.0
2016/07,0,0.0,0.0
2016/08,0,0.0,0.0
2016/09,0,0.0,0.0
2016/10,0,0.0,0.0
2016/11,0,0.0,0.0
2016/12,0,0.0,0.0
2017/01,0,0.0,0.0
2017/02,27,0.9,5.4
2017/03,47,0.6666666666666666,9.4
2017/04,186,4.633333333333334,55.8
2017/05,488,10.066666666666666,146.4
2017/06,831,11.433333333333334,249.3
2016/04,0,0.0,0.0
2016/05,0,0.0,0.0
2016/06,0,0.0,0.0
2016/07,0,0.0,0.0
2016/08,0,0.0,0.0
2016/09,29,0.9666666666666667,5.8
2016/10,117,2.933333333333333,23.4
2016/11,213,3.2,42.6
2016/12,383,5.666666666666667,76.6
2017/01,538,5.166666666666667,53.8
2017/02,695,5.233333333333333,208.5
2017/03,852,5.233333333333333,85.2
2017/04,1058,6.866666666666666,105.8
2017/05,1268,7.0,126.8
2017/06,1410,4.733333333333333,141.0
