기간,웃긴대학,아프리카TV,인벤,도탁스,오유,트위터,일베,이종락싸,인스티즈,네이트판,쭉빵여시
2016/03,0,0,0,0,0,0,0,0,0,0,0
2016/04,0,0,0,0,0,0,0,0,0,0,0
2016/05,0,0,0,0,0,0,0,0,0,0,0
2016/06,0,0,0,0,0,0,0,0,0,0,0
2016/07,0,0,4,0,2,0,0,0,0,0,0
2016/08,0,4,16,0,3,0,0,0,0,0,0
2016/09,5,7,31,8,1,0,29,5,5,1,0
2016/10,4,19,45,15,34,0,88,14,9,7,14
2016/11,9,38,32,14,55,0,96,18,36,25,110
2016/12,14,74,42,31,34,0,170,48,57,32,316
2017/01,14,28,30,13,24,0,155,46,85,45,245
2017/02,13,66,38,20,40,0,157,48,56,52,205
2017/03,12,29,23,17,77,0,157,54,58,38,258
2017/04,13,59,17,22,107,0,206,88,51,77,450
2017/05,24,86,23,30,58,0,210,76,33,75,380
2017/06,15,54,17,14,34,0,142,30,36,69,307
