기간,웃긴대학,아프리카TV,인벤,도탁스,오유,트위터,일베,이종락싸,인스티즈,네이트판,쭉빵여시
2016/03,0,0,0,0,0,0,0,0,0,0,0
2016/04,0,0,0,0,0,0,0,0,0,0,0
2016/05,0,0,0,0,0,0,0,0,0,0,0
2016/06,0,0,0,0,0,0,0,0,0,0,0
2016/07,0,0,0,0,2,0,0,0,0,0,0
2016/08,0,0,4,0,0,0,0,0,0,0,0
2016/09,0,0,10.2,0,0,0,5.8,0,0,0,0
2016/10,0,6,19.2,4.6,8,0,23.4,0,0,0,0
2016/11,0,13.6,25.6,7.4,19,0,42.6,7.4,10,6.6,24.8
2016/12,6.4,42.6,34,20.4,25.8,0,76.6,17,21.4,13,88
2017/01,9.2,17,20,8.1,15.3,0,53.8,26.2,38.4,22,137
2017/02,11.8,23.6,23.8,10.1,19.3,0,208.5,17.9,49.6,32.4,178
2017/03,14.2,26.5,26.1,11.8,81,0,85.2,23.3,61.2,20,229.6
2017/04,8.4,32.4,27.8,14,113.1,0,105.8,32.1,71.4,83.1,479.4
2017/05,10.8,41,30.1,17,43.5,0,126.8,39.7,39,105.6,593.4
2017/06,12.3,46.4,31.8,18.4,46.9,0,141,42.7,42.6,126.3,228.5
