기간,웃긴대학,아프리카TV,인벤,도탁스,오유,트위터,일베,이종락싸,인스티즈,네이트판,쭉빵여시
2016/03,0,0,0,0,0,0,0,0,0,0,0
2016/04,0,0,0,0,0,0,0,0,0,0,0
2016/05,0,0,0,0,0,0,0,0,0,0,0
2016/06,0,0,0,0,0,0,0,0,0,0,0
2016/07,0,0,4,0,2,0,0,0,0,0,0
2016/08,0,4,20,0,5,0,0,0,0,0,0
2016/09,5,11,51,8,6,0,29,5,5,1,0
2016/10,9,30,96,23,40,0,117,19,14,8,14
2016/11,18,68,128,37,95,0,213,37,50,33,124
2016/12,32,142,170,68,129,0,383,85,107,65,440
2017/01,46,170,200,81,153,0,538,131,192,110,685
2017/02,59,236,238,101,193,0,695,179,248,162,890
2017/03,71,265,261,118,270,0,852,233,306,200,1148
2017/04,84,324,278,140,377,0,1058,321,357,277,1598
2017/05,108,410,301,170,435,0,1268,397,390,352,1978
2017/06,123,464,318,184,469,0,1410,427,426,421,2285
