기간,웃긴대학,아프리카TV,인벤,도탁스,오유,트위터,일베,이종락싸,인스티즈,네이트판,쭉빵여시
2016/03,0,0,0,0,0,0,0,0,0,0,0
2016/04,0,0,0,0,0,0,0,0,0,0,0
2016/05,0,0,0,0,0,0,0,0,0,0,0
2016/06,0,0,0,0,0,0,0,0,0,0,0
2016/07,0,0,0,0,0,0,0,0,0,0,0
2016/08,0,0,0,0,0,0,0,0,0,0,1
2016/09,0,0,0,3,0,0,0,0,0,0,0
2016/10,0,0,3,0,0,0,30,0,0,0,0
2016/11,0,4,2,1,1,0,48,0,1,0,0
2016/12,0,6,32,12,2,0,160,1,0,0,0
2017/01,174,39,390,173,73,100,1594,26,11,7,23
2017/02,38,25,114,94,58,71,996,21,7,6,26
2017/03,25,16,99,49,21,65,677,18,3,5,26
2017/04,22,20,45,60,22,50,307,4,3,1,50
2017/05,15,8,54,38,14,61,343,6,0,2,99
2017/06,21,7,24,48,6,57,309,7,5,1,130
