기간,웃긴대학,아프리카TV,인벤,도탁스,오유,트위터,일베,이종락싸,인스티즈,네이트판,쭉빵여시
2016/03,0,0,0,0,0,0,0,0,0,0,0
2016/04,0,0,0,0,0,0,0,0,0,0,0
2016/05,0,0,0,0,0,0,0,0,0,0,0
2016/06,0,0,0,0,0,0,0,0,0,0,0
2016/07,0,0,0,0,0,0,0,0,0,0,0
2016/08,0,0,0,0,0,0,0,0,0,0,0
2016/09,0,0,0,0,0,0,0,0,0,0,0
2016/10,0,0,0,0,0,0,6,0,0,0,0
2016/11,0,0,0,0,0,0,15.6,0,0,0,0
2016/12,0,0,7.4,3.2,0,0,47.6,0,0,0,0
2017/01,34.8,9.8,85.4,37.8,15.2,20,366.4,5.4,2.4,1.4,4.8
2017/02,21.2,14.8,54.1,28.3,26.8,17.1,565.6,9.6,1.9,1.3,10
2017/03,23.7,9,64,33.2,15.5,23.6,350.5,13.2,2.2,1.8,15.2
2017/04,25.9,11,68.5,39.2,17.7,28.6,381.2,7,2.5,1.9,37.8
2017/05,27.4,11.8,73.9,43,19.1,34.7,415.5,7.6,2.5,2.1,67.5
2017/06,29.5,12.5,76.3,47.8,19.7,40.4,446.4,8.3,3,2.2,106.5
