기간,웃긴대학,아프리카TV,인벤,도탁스,오유,트위터,일베,이종락싸,인스티즈,네이트판,쭉빵여시
2016/03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016/04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016/05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016/06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016/07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016/08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016/09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016/10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016/11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016/12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005911324940118327
2017/01,0.0,0.0,0.0,0.0,0.0,0.0,1.0112521983296947,0.0,0.1667557011201169,0.09197422315500205,0.013004914868260319
2017/02,0.0,0.0,0.2093020799806217,0.0,0.17991806967531415,0.0,1.0112521983296947,0.0,1.9269547684991286,1.2416520125925279,0.21398996283228341
2017/03,0.0,0.0,0.627906239941865,0.1730911001739295,0.7196722787012566,0.0,1.1376587231209068,0.17184910641465237,4.14109991114957,2.575278248340058,0.6159600587603297
2017/04,0.0,0.0,0.627906239941865,1.2116377012175064,0.8995903483765708,0.0,1.1376587231209068,0.17184910641465237,6.5220007549201275,4.00087870724259,4.322360796214521
2017/05,0.0,0.0,1.0465103999031085,2.0770932020871538,1.9790987664284558,0.0,4.1714153181099904,1.7184910641465236,9.403168702051035,6.30023428611764,11.110335224952395
2017/06,0.0,0.0,2.093020799806217,3.46182200347859,3.238525254155655,0.0,4.929854466857262,3.265133021878395,11.997146275030632,7.955770302907678,18.074467136905795
