,일베,웃대,오유,slrclub,네이트 판,클리앙,뽐뿌,배스티즈,MLB파크,에펨코리아,루리웹,더쿠,이토랜드,보배드림,와이고수,개드립,가생이,딴지일보,82쿡,인스티즈,야구 갤러리,롤 갤러리,NBA 갤러리,주식 갤러리,프로듀스 X 101 갤러리,우울증 갤러리,인방 갤러리,스트리머 갤러리,남연 갤러리,LoL 인벤,wow 인벤,오버워치 인벤,스타 인벤,리니지 인벤,메이플 인벤,디젤매니아,중고나라,맘스홀릭베이비,더먹자,lolkor,powder room,맘이베베,레몬테라스,directwedding,부동산 스터디,독취사,몰테일 스토리,광수방 광주맘 수다방,세븐 나이츠 공식카페,캠핑 퍼스트,농라,다낭 도깨비,수만휘,순광맘,좀비 고등학교 모바일,창원 줌마렐라,대구맘 365,다낭 고스트,우왁끼,아사모,베나자,여성시대,도탁스,쭉빵카페,이종격투기,달빛조각사 게임 공식카페,樂 SOCCER,소울드레서,엽기 혹은 진실,텐인텐,엑스원 공식 펜카페,디젤 매니아,ILoveNBA,남성시대,한류열풍 사랑,대구맘,부산맘,귀농사모/한국귀농인협회,제주맘,텐인텐2,뉴빵카페,임출카페,소주담
2017-10-15,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,7,39,2,0,5,0,2,1,0,0,0,0,1,0,0,1,0,2,0,1,5
2017-10-30,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,9,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,18,55,9,0,15,0,6,2,0,0,4,0,3,0,0,4,0,3,0,1,8
2017-11-14,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7,12,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,27,68,15,0,18,0,9,2,0,0,5,1,3,0,0,5,0,4,0,2,9
2017-11-29,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,16,6,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,46,81,21,0,20,0,9,2,0,0,5,2,3,0,1,6,0,7,1,2,9
2017-12-14,6,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,6,5,6,6,5,5,6,6,5,5,9,17,7,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,65,99,28,0,24,0,10,2,0,0,6,3,6,1,1,8,0,8,1,2,9
2017-12-29,7,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,7,6,7,7,6,6,7,7,6,6,10,18,8,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,81,114,31,0,34,0,10,2,0,0,6,4,8,1,1,8,0,9,2,2,9
2018-01-13,8,7,7,7,7,7,7,7,7,8,7,7,7,7,7,7,8,7,7,7,8,7,8,8,7,7,8,8,7,7,12,20,9,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,99,134,34,0,39,0,11,4,0,0,7,4,9,2,3,10,0,9,4,2,11
2018-01-28,9,8,8,8,8,8,8,8,8,9,8,8,8,8,8,8,9,8,8,8,9,8,9,9,8,8,9,9,8,8,13,21,10,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,121,152,40,0,50,0,12,6,0,0,8,5,14,3,4,10,0,9,4,4,12
2018-02-12,10,9,9,9,9,9,9,9,9,10,9,9,9,9,9,9,10,9,9,9,10,9,10,10,9,9,10,10,9,9,15,23,11,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,135,172,50,0,62,0,13,6,0,0,8,5,17,4,4,11,0,9,4,4,12
2018-02-27,11,10,10,10,10,10,10,10,10,11,10,10,10,10,10,10,11,10,10,10,11,10,11,11,10,10,11,11,10,10,18,26,12,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,143,188,59,0,76,0,14,6,0,0,8,6,18,4,4,11,0,13,4,6,14
2018-03-14,12,11,11,11,11,11,12,11,11,12,11,11,11,11,11,11,12,11,11,11,12,11,12,12,11,11,12,12,11,11,19,28,13,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,153,197,61,0,85,1,15,8,0,0,8,8,21,4,5,12,0,13,5,7,14
2018-03-29,13,14,12,12,12,12,13,12,12,13,12,12,12,12,12,12,13,12,12,12,14,12,14,14,12,12,14,14,12,12,20,32,14,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,162,208,62,0,95,1,17,8,0,0,10,8,21,4,6,15,0,14,5,7,14
2018-04-13,15,16,13,13,13,13,14,13,13,14,13,13,13,13,13,13,14,13,13,13,15,13,15,15,13,13,15,15,13,13,27,39,15,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,169,218,64,0,101,1,17,8,0,0,10,8,21,4,6,18,0,15,6,7,15
2018-04-28,16,17,14,14,14,14,15,14,14,15,14,14,14,14,14,14,15,14,14,14,16,14,16,16,14,14,16,16,14,14,28,43,16,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307,177,237,66,0,116,1,17,8,0,0,12,8,22,4,7,19,0,18,6,8,16
2018-05-13,17,18,15,15,15,15,16,15,15,16,15,15,15,15,15,15,16,15,15,15,17,15,17,17,15,15,17,17,15,15,30,48,17,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341,185,257,80,0,130,1,19,8,0,0,13,8,24,4,8,21,0,18,6,8,18
2018-05-28,18,19,16,16,16,16,17,16,16,17,16,16,16,16,16,16,17,16,16,16,18,16,18,18,16,16,18,18,16,16,32,50,18,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431,191,265,90,0,143,1,20,8,0,0,15,8,24,6,9,22,0,24,7,9,21
2018-06-12,19,20,17,17,17,17,18,17,17,18,17,17,17,17,17,17,18,17,17,17,19,17,19,19,17,17,19,19,17,17,33,51,19,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,494,192,282,97,0,161,1,22,9,0,0,16,8,26,6,10,25,0,25,7,9,22
2018-06-27,20,21,18,18,18,18,19,18,18,19,18,18,18,18,18,18,19,18,18,18,20,18,20,20,18,18,20,20,18,18,34,52,20,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,538,200,304,101,0,169,1,22,9,0,0,16,8,29,7,10,25,0,26,8,10,22
2018-07-12,21,22,19,19,19,19,20,19,19,20,19,19,19,19,19,19,20,19,19,19,21,19,21,21,19,19,21,21,19,19,35,57,21,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,562,206,317,106,0,174,3,22,9,0,0,17,8,29,7,11,25,0,26,9,11,25
2018-07-27,23,23,20,20,20,20,21,20,20,22,20,20,20,20,20,20,21,20,20,20,22,20,22,22,20,20,22,22,20,20,37,60,22,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,608,211,334,113,0,180,4,22,9,0,0,18,8,31,7,11,27,0,29,10,11,26
2018-08-11,24,24,21,21,21,21,22,21,21,23,21,21,21,21,21,21,22,21,21,21,23,21,23,23,21,21,23,23,21,21,41,65,23,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,624,218,363,116,0,189,4,22,9,0,0,18,8,32,9,12,28,0,29,10,12,27
2018-08-26,28,25,22,22,22,22,23,22,22,24,22,22,22,22,22,22,23,22,22,22,24,22,24,24,22,22,24,24,22,22,49,76,24,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650,227,396,117,0,197,4,22,9,0,0,18,8,34,9,12,29,0,32,10,12,28
2018-09-10,30,26,23,23,23,23,24,23,23,25,23,23,23,23,25,23,24,23,23,23,25,23,25,25,23,23,25,25,23,23,53,83,25,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,673,236,410,123,0,202,5,22,9,0,0,18,9,36,9,13,29,0,34,10,12,28
2018-09-25,32,27,24,24,24,24,25,24,24,26,24,24,24,24,26,24,25,24,24,24,26,24,26,26,24,24,26,26,24,24,57,87,26,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,706,241,428,128,0,228,6,22,9,0,0,18,9,36,9,14,30,0,34,10,12,28
