,일베,웃대,오유,slrclub,네이트 판,클리앙,뽐뿌,배스티즈,MLB파크,에펨코리아,루리웹,더쿠,이토랜드,보배드림,와이고수,개드립,가생이,딴지일보,82쿡,인스티즈,야구 갤러리,롤 갤러리,NBA 갤러리,주식 갤러리,프로듀스 X 101 갤러리,우울증 갤러리,인방 갤러리,스트리머 갤러리,남연 갤러리,LoL 인벤,wow 인벤,오버워치 인벤,스타 인벤,리니지 인벤,메이플 인벤,디젤매니아,중고나라,맘스홀릭베이비,더먹자,lolkor,powder room,맘이베베,레몬테라스,directwedding,부동산 스터디,독취사,몰테일 스토리,광수방 광주맘 수다방,세븐 나이츠 공식카페,캠핑 퍼스트,농라,다낭 도깨비,수만휘,순광맘,좀비 고등학교 모바일,창원 줌마렐라,대구맘 365,다낭 고스트,우왁끼,아사모,베나자,여성시대,도탁스,쭉빵카페,이종격투기,달빛조각사 게임 공식카페,樂 SOCCER,소울드레서,엽기 혹은 진실,텐인텐,엑스원 공식 펜카페,디젤 매니아,ILoveNBA,남성시대,한류열풍 사랑,대구맘,부산맘,귀농사모/한국귀농인협회,제주맘,텐인텐2,뉴빵카페,임출카페,소주담
2017-10-15,4340,15,35,1,122,170,27,1,32,23,1,2,1,23,95,1,9,4,6,1,0,0,0,0,0,0,0,0,0,1477,48,0,0,1417,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-30,11127,28,65,2,490,334,54,2,64,54,2,3,2,60,294,2,20,8,11,2,0,0,0,0,0,0,0,0,0,2972,104,0,0,2831,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-11-14,15144,41,126,3,782,498,83,3,95,87,3,4,3,93,337,3,24,18,13,3,0,0,0,0,0,0,0,0,0,4507,159,0,0,4234,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-11-29,18517,58,177,4,895,655,113,4,119,104,4,5,4,129,369,4,27,24,16,4,0,0,0,0,0,0,0,0,0,6099,222,0,0,5787,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-14,25328,80,231,5,978,815,143,5,155,128,5,6,5,149,402,5,28,94,19,5,0,0,0,0,0,0,0,0,0,7916,258,0,0,7555,660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-29,27647,105,254,6,1106,959,183,6,184,152,6,7,6,172,439,6,33,133,23,6,0,0,0,0,0,0,0,0,0,9546,293,0,0,9123,845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-13,31655,133,281,7,1240,1133,227,7,213,170,7,10,7,202,479,7,85,134,27,7,0,0,0,0,0,0,0,0,0,9547,345,0,0,10716,996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-28,34977,161,312,8,1403,1322,260,8,234,190,8,11,8,251,533,8,86,135,28,8,0,0,0,0,0,0,0,0,0,11252,399,0,0,12363,1167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-12,36744,187,338,9,1568,1510,292,9,258,214,9,14,9,290,583,9,90,136,33,9,0,0,0,0,0,0,0,0,0,12707,480,0,0,13753,1270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-27,41334,212,354,10,1811,1677,331,10,277,231,10,18,10,318,663,10,98,137,38,10,0,0,0,0,0,0,0,0,0,14219,555,0,0,15210,1354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-14,44551,240,376,11,1987,1832,373,11,292,245,11,20,11,352,820,11,102,138,40,11,0,0,0,0,0,0,0,0,0,15552,604,0,0,16482,1463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-29,46572,259,403,12,2355,2054,406,12,313,281,12,25,12,405,956,12,104,147,45,12,0,0,0,0,0,0,0,0,0,17051,659,0,0,17908,1541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-13,48784,280,433,13,2490,2277,452,13,329,295,13,27,13,448,1039,13,107,153,58,13,0,0,0,0,0,0,0,0,0,18672,709,0,0,19452,1634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-28,51439,295,449,14,2614,2447,497,14,338,312,14,31,14,494,1186,14,115,155,61,14,0,0,0,0,0,0,0,0,0,20073,763,0,0,20776,1786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-05-13,53482,308,473,15,2773,2627,555,15,355,323,15,40,15,517,1415,15,119,156,65,15,0,0,0,0,0,0,0,0,0,21792,823,0,0,22446,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-05-28,55277,328,507,16,2904,2842,619,16,367,343,16,43,16,555,1571,16,126,159,67,16,0,0,0,0,0,0,0,0,0,23289,902,0,0,23887,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
