,일베,웃대,오유,slrclub,네이트 판,클리앙,뽐뿌,배스티즈,MLB파크,에펨코리아,루리웹,더쿠,이토랜드,보배드림,와이고수,개드립,가생이,딴지일보,82쿡,인스티즈,야구 갤러리,롤 갤러리,NBA 갤러리,주식 갤러리,프로듀스 X 101 갤러리,우울증 갤러리,인방 갤러리,스트리머 갤러리,남연 갤러리,LoL 인벤,wow 인벤,오버워치 인벤,스타 인벤,리니지 인벤,메이플 인벤,디젤매니아,중고나라,맘스홀릭베이비,더먹자,lolkor,powder room,맘이베베,레몬테라스,directwedding,부동산 스터디,독취사,몰테일 스토리,제5 인격 공식카페,광수방 광주맘 수다방,세븐 나이츠 공식카페,캠핑 퍼스트,농라,다낭 도깨비,수만휘,순광맘,좀비 고등학교 모바일,창원 줌마렐라,대구맘 365,다낭 고스트,우왁끼,아사모,베나자,여성시대,도탁스,쭉빵카페,이종격투기,달빛조각사 게임 공식카페,樂 SOCCER,소울드레서,엽기 혹은 진실,텐인텐,엑스원 공식 펜카페,디젤 매니아,ILoveNBA,남성시대,한류열풍 사랑,대구맘,부산맘,귀농사모/한국귀농인협회,제주맘,텐인텐2,뉴빵카페,임출카페,소주담
2016-10-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,4,4,0,1,0,74,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2016-11-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,3,0,1,3,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,1,1,0,9,9,1,1,0,126,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0
2016-11-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,4,1,1,3,0,0,0,0,0,0,0,2,2,1,0,0,0,1,0,0,1,0,1,1,0,9,17,3,1,0,186,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0
2016-12-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,10,1,1,3,0,0,0,0,0,0,0,2,2,1,0,0,0,1,1,0,1,0,1,1,0,9,28,4,1,0,271,0,0,0,0,0,0,0,2,0,0,0,1,0,2,0,1
2016-12-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12,14,4,2,4,0,0,0,0,0,2,0,2,3,1,0,0,0,1,1,0,1,0,2,1,0,14,34,4,1,0,360,0,0,0,0,0,0,0,2,0,0,0,1,0,2,0,1
2017-01-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12,15,5,2,4,0,0,0,0,0,3,0,3,6,1,1,0,0,1,1,0,2,0,2,1,0,17,41,4,1,0,401,0,1,0,0,0,0,0,2,0,0,0,1,0,2,0,1
2017-01-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12,18,6,3,4,0,0,0,0,0,3,0,3,6,1,1,0,0,1,1,0,3,0,2,1,0,21,52,4,2,0,459,0,2,0,0,0,0,1,2,0,0,0,1,0,3,0,1
2017-02-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,13,19,6,3,4,0,0,0,0,0,3,0,4,6,1,1,0,0,1,1,1,4,0,2,1,0,22,56,5,2,0,486,0,2,0,0,0,0,1,2,0,0,0,2,0,4,0,1
2017-02-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,13,22,6,3,4,0,0,0,0,0,3,0,4,6,1,1,0,0,1,1,1,4,0,3,1,0,22,58,5,3,0,548,0,2,0,0,0,0,1,2,0,0,0,2,0,4,0,1
2017-03-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,13,24,6,3,5,0,0,0,0,0,3,0,5,8,1,1,0,0,3,1,2,5,0,3,1,0,22,60,5,3,0,587,0,2,0,0,0,0,1,2,0,0,0,2,1,4,0,1
