,일베,웃대,오유,slrclub,네이트 판,클리앙,뽐뿌,배스티즈,MLB파크,에펨코리아,루리웹,더쿠,이토랜드,보배드림,와이고수,개드립,가생이,딴지일보,82쿡,인스티즈,야구 갤러리,롤 갤러리,NBA 갤러리,주식 갤러리,프로듀스 X 101 갤러리,우울증 갤러리,인방 갤러리,스트리머 갤러리,남연 갤러리,LoL 인벤,wow 인벤,오버워치 인벤,스타 인벤,리니지 인벤,메이플 인벤,디젤매니아,중고나라,맘스홀릭베이비,더먹자,lolkor,powder room,맘이베베,레몬테라스,directwedding,부동산 스터디,독취사,몰테일 스토리,제5 인격 공식카페,광수방 광주맘 수다방,세븐 나이츠 공식카페,캠핑 퍼스트,농라,다낭 도깨비,수만휘,순광맘,좀비 고등학교 모바일,창원 줌마렐라,대구맘 365,다낭 고스트,우왁끼,아사모,베나자,여성시대,도탁스,쭉빵카페,이종격투기,달빛조각사 게임 공식카페,樂 SOCCER,소울드레서,엽기 혹은 진실,텐인텐,엑스원 공식 펜카페,디젤 매니아,ILoveNBA,남성시대,한류열풍 사랑,대구맘,부산맘,귀농사모/한국귀농인협회,제주맘,텐인텐2,뉴빵카페,임출카페,소주담
2016-10-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,17,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,8,32,4,1,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2016-10-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,23,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,31,46,6,1,0,3,0,3,0,0,2,0,0,0,0,0,0,1,0,0,0,0
2016-11-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,1,34,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,57,56,10,1,0,3,0,4,0,0,3,0,0,0,0,0,0,1,0,0,0,0
2016-11-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,1,38,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,0,0,281,76,14,1,0,5,0,5,0,0,3,0,0,0,0,0,0,2,0,1,0,2
2016-12-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,1,51,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,12,0,0,821,95,36,10,0,8,0,5,0,0,3,0,0,0,0,0,0,3,0,4,0,3
2016-12-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,1,60,2,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,12,0,0,1521,103,97,16,0,10,0,6,0,0,3,0,3,0,0,0,0,5,0,10,1,6
2017-01-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0,1,72,2,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,14,0,0,2226,132,249,32,0,15,0,12,0,0,3,0,3,1,1,0,0,5,1,28,1,10
2017-01-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1,0,3,86,2,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,15,0,0,2978,164,615,66,0,24,0,18,0,0,3,0,3,2,1,0,0,5,2,55,1,21
2017-02-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,4,1,4,103,2,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,18,0,0,3604,194,1135,82,0,28,0,21,0,0,4,1,4,3,1,0,0,5,2,114,1,36
2017-02-27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,6,1,9,138,3,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,20,1,0,3942,219,1610,108,0,35,0,26,0,0,4,1,5,3,1,0,0,5,3,165,1,46
2017-03-14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,8,1,10,148,4,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,25,1,0,4385,256,1900,135,0,42,0,30,0,0,5,2,7,3,1,0,0,5,3,205,1,52
2017-03-29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,8,1,10,159,6,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,27,1,0,4850,288,2216,154,0,49,0,46,0,0,6,2,9,4,1,0,0,5,4,230,1,57
