,일베,웃대,오유,slrclub,네이트 판,클리앙,뽐뿌,배스티즈,MLB파크,에펨코리아,루리웹,더쿠,이토랜드,보배드림,와이고수,개드립,가생이,딴지일보,82쿡,인스티즈,야구 갤러리,롤 갤러리,NBA 갤러리,주식 갤러리,프로듀스 X 101 갤러리,우울증 갤러리,인방 갤러리,스트리머 갤러리,남연 갤러리,LoL 인벤,wow 인벤,오버워치 인벤,스타 인벤,리니지 인벤,메이플 인벤,디젤매니아,중고나라,맘스홀릭베이비,더먹자,lolkor,powder room,맘이베베,레몬테라스,directwedding,부동산 스터디,독취사,몰테일 스토리,광수방 광주맘 수다방,세븐 나이츠 공식카페,캠핑 퍼스트,농라,다낭 도깨비,수만휘,순광맘,좀비 고등학교 모바일,창원 줌마렐라,대구맘 365,다낭 고스트,우왁끼,아사모,베나자,여성시대,도탁스,쭉빵카페,이종격투기,달빛조각사 게임 공식카페,樂 SOCCER,소울드레서,엽기 혹은 진실,텐인텐,엑스원 공식 펜카페,디젤 매니아,ILoveNBA,남성시대,한류열풍 사랑,대구맘,부산맘,귀농사모/한국귀농인협회,제주맘,텐인텐2,뉴빵카페,임출카페,소주담
2017-10-15,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,3,683,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,10,0,97
2017-10-30,1,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,4,1081,0,0,5,0,1,0,0,0,0,0,0,0,1,0,0,0,17,0,161
2017-11-14,7,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,6,1471,0,0,9,0,2,0,0,0,0,0,0,1,2,0,0,0,34,0,220
2017-11-29,8,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,8,1820,0,0,14,0,2,0,0,0,0,0,0,1,2,0,0,0,40,0,254
2017-12-14,8,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,10,2257,0,0,16,0,3,0,0,0,0,0,0,1,2,0,0,0,45,1,275
2017-12-29,10,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,13,2754,1,0,18,0,5,0,0,0,1,0,0,1,2,0,0,0,58,1,291
2018-01-13,10,0,0,0,77,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,10,0,10,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,15,3415,1,0,20,0,5,0,0,0,2,0,0,1,2,0,0,0,67,1,329
2018-01-28,11,0,0,0,91,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,10,0,10,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353,15,3886,1,0,22,0,5,0,0,0,2,0,1,1,2,0,0,0,74,1,344
2018-02-12,11,0,0,0,92,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,10,0,10,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368,15,4307,1,0,23,0,5,0,0,0,2,0,1,1,2,0,0,0,79,1,360
2018-02-27,11,0,0,0,108,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,10,0,10,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389,19,4693,1,0,25,1,5,0,0,0,2,0,1,1,2,0,0,0,86,1,395
2018-03-14,11,0,0,0,143,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,12,0,12,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413,20,5062,1,0,26,1,5,0,0,0,2,0,1,1,2,0,0,0,97,1,448
2018-03-29,11,0,0,0,154,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,12,0,12,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436,25,5499,1,0,32,1,5,0,0,0,3,0,1,1,2,0,0,0,100,1,492
2018-04-13,13,0,0,0,172,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,13,0,13,13,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456,26,5828,1,0,37,1,6,0,0,0,3,0,2,1,3,0,0,0,102,1,548
2018-04-28,13,0,0,0,189,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,16,0,16,16,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471,26,6036,1,0,39,1,6,0,0,0,3,0,2,1,3,0,0,0,104,1,576
2018-05-13,14,0,0,0,198,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,17,0,17,17,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1352,30,6731,1,0,41,1,9,0,0,0,4,0,3,1,3,0,0,0,108,1,633
2018-05-28,14,0,0,0,223,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,17,0,17,17,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2147,36,7719,1,0,46,1,9,0,0,0,4,0,4,1,4,0,0,0,122,1,711
2018-06-12,14,0,0,0,233,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,17,0,17,17,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2179,36,8208,1,0,46,1,9,0,0,0,4,0,5,1,4,0,0,0,141,1,783
2018-06-27,14,0,0,0,240,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,18,0,18,18,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2200,42,8533,1,0,51,1,10,0,0,0,4,0,5,1,5,0,0,0,145,1,822
2018-07-12,15,0,1,0,247,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,20,0,20,20,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2218,48,8854,1,0,57,1,11,0,0,0,4,0,6,1,6,0,0,0,154,1,855
2018-07-27,15,0,1,0,253,0,0,0,0,1,0,6,0,0,2,0,0,0,0,0,21,0,21,21,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2242,50,9150,16,0,65,2,11,0,0,0,4,0,6,1,6,0,0,0,161,1,866
2018-08-11,16,0,1,0,265,0,0,0,0,1,0,7,0,0,2,0,0,0,0,0,21,0,21,21,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2266,52,9486,49,0,67,3,11,0,0,0,4,0,7,1,6,0,0,0,165,1,894
2018-08-26,17,0,1,0,269,0,0,0,0,1,0,7,0,0,2,0,0,0,0,0,24,0,24,24,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2291,54,9888,49,0,68,3,11,0,0,0,4,0,8,2,6,0,0,0,171,1,930
2018-09-10,20,0,1,0,272,0,0,0,0,1,0,8,0,0,2,0,0,0,0,0,24,0,24,24,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2334,56,10190,50,0,73,4,11,0,0,0,4,0,8,2,6,0,0,0,175,1,948
2018-09-25,20,0,1,0,275,0,0,0,0,1,0,8,0,0,2,0,0,0,0,0,24,0,24,24,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2383,56,10416,50,0,75,4,11,0,0,0,4,0,8,2,6,0,0,0,177,1,963
2018-10-10,23,0,1,0,276,0,0,0,0,1,0,10,0,0,2,0,0,0,0,0,26,0,26,26,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2552,58,10844,50,0,80,4,11,0,0,0,4,0,8,2,6,0,0,0,178,1,978
2018-10-25,31,0,1,0,281,0,0,0,0,1,0,14,0,0,2,0,0,0,0,0,26,0,26,26,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2740,63,11812,50,0,88,4,11,0,0,0,4,0,9,2,6,0,0,1,195,1,1020
2018-11-09,37,0,1,0,288,0,0,0,0,1,0,19,0,0,2,0,0,0,0,0,27,0,27,27,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2906,65,12582,66,0,91,4,11,0,0,0,4,0,9,2,6,0,0,1,200,1,1072
2018-11-24,42,0,1,0,293,0,0,0,1,1,0,20,0,0,2,0,0,0,0,0,29,0,29,29,0,0,0,29,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3002,67,13241,79,0,95,5,11,0,0,0,4,0,10,2,6,0,0,1,203,1,1072
2018-12-09,44,0,1,0,295,0,0,0,1,1,0,21,0,0,2,0,0,0,0,0,29,0,29,29,0,0,0,29,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3053,71,13716,91,0,98,7,12,0,0,0,4,0,10,2,6,0,0,1,212,1,1087
