,일베,웃대,오유,slrclub,네이트 판,클리앙,뽐뿌,배스티즈,MLB파크,에펨코리아,루리웹,더쿠,이토랜드,보배드림,와이고수,개드립,가생이,딴지일보,82쿡,인스티즈,야구 갤러리,롤 갤러리,NBA 갤러리,주식 갤러리,프로듀스 X 101 갤러리,우울증 갤러리,인방 갤러리,스트리머 갤러리,남연 갤러리,LoL 인벤,wow 인벤,오버워치 인벤,스타 인벤,리니지 인벤,메이플 인벤,디젤매니아,중고나라,맘스홀릭베이비,더먹자,lolkor,powder room,맘이베베,레몬테라스,directwedding,부동산 스터디,독취사,몰테일 스토리,제5 인격 공식카페,광수방 광주맘 수다방,세븐 나이츠 공식카페,캠핑 퍼스트,농라,다낭 도깨비,수만휘,순광맘,좀비 고등학교 모바일,창원 줌마렐라,대구맘 365,다낭 고스트,우왁끼,아사모,베나자,여성시대,도탁스,쭉빵카페,이종격투기,달빛조각사 게임 공식카페,樂 SOCCER,소울드레서,엽기 혹은 진실,텐인텐,엑스원 공식 펜카페,디젤 매니아,ILoveNBA,남성시대,한류열풍 사랑,대구맘,부산맘,귀농사모/한국귀농인협회,제주맘,텐인텐2,뉴빵카페,임출카페,소주담
2016-10-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
2016-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,13,0,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5,2,0
2016-11-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,4,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,2,0,3,1,0,0,0,0,18,0,6,1,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,5,2,0
2016-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,5,0,2,0,0,1,0,0,3,0,3,0,0,0,0,0,2,0,5,1,0,0,0,0,25,1,10,2,0,1,0,0,0,0,0,1,1,0,2,2,0,0,2,5,2,0
2016-12-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,7,0,2,0,0,1,0,0,3,0,3,0,0,0,0,0,2,0,7,1,0,0,0,0,31,1,10,2,0,1,0,0,0,0,0,1,1,0,5,3,0,0,2,5,3,1
2016-12-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37,9,0,2,0,0,1,0,0,3,0,3,0,0,0,0,0,3,0,9,2,0,0,0,0,32,1,11,3,0,1,0,1,0,0,0,1,2,0,6,3,0,0,2,5,4,1
2017-01-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44,10,0,3,0,0,1,0,0,4,0,4,0,0,0,0,0,3,0,10,2,0,0,0,0,37,1,14,3,0,1,0,1,0,0,0,1,2,0,8,4,0,0,2,6,4,1
2017-01-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,52,12,0,3,0,0,1,0,0,7,0,6,0,0,0,0,0,4,0,14,2,0,0,0,0,51,1,19,3,0,1,0,1,0,0,0,1,2,0,13,5,0,0,3,6,6,2
2017-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,57,12,0,4,0,0,1,0,0,8,0,6,0,0,0,0,0,5,0,16,2,0,0,0,0,57,1,21,4,0,1,0,1,0,0,0,1,2,0,13,5,0,1,3,6,6,2
2017-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,61,12,0,4,0,0,1,0,0,9,0,7,0,0,0,0,0,6,0,16,2,0,0,0,0,62,1,25,4,0,1,0,2,0,0,0,1,2,0,13,5,0,1,3,6,8,3
2017-03-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,66,12,0,4,0,0,1,0,0,9,0,7,0,0,0,0,0,6,0,17,4,0,0,0,0,70,1,25,4,0,1,0,2,0,0,0,1,3,0,13,5,0,1,3,7,10,3
2017-03-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,69,15,0,5,0,0,1,0,0,9,0,7,0,0,0,0,0,6,0,20,6,0,0,0,0,82,1,26,4,0,2,0,2,0,0,0,1,4,0,14,6,0,1,3,7,11,3
2017-04-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,73,18,0,6,0,0,1,0,0,12,0,7,0,0,0,0,0,6,0,21,6,0,0,0,0,93,1,26,4,0,2,0,2,0,0,0,1,4,0,14,6,0,1,3,7,11,4
2017-04-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,78,20,0,9,0,0,1,0,0,12,0,8,0,0,0,0,0,7,0,22,8,0,0,0,0,102,1,28,5,0,3,0,2,0,0,0,1,4,0,17,7,0,1,3,7,12,4
2017-05-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,86,22,0,9,0,0,1,0,0,13,0,9,0,0,0,0,0,7,0,24,8,0,0,0,0,114,2,29,5,0,3,0,2,0,0,0,1,4,0,19,8,0,1,3,7,14,4
2017-05-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,90,23,0,10,0,0,1,0,0,13,0,9,0,0,0,0,0,7,0,24,8,0,0,0,0,128,2,35,5,0,3,0,2,0,0,0,1,4,0,19,9,0,1,3,7,15,4
2017-06-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,98,25,0,10,0,0,1,0,0,14,0,9,0,0,0,0,0,7,0,25,10,0,0,0,0,141,2,37,5,0,3,0,2,0,0,0,1,4,0,20,9,0,1,3,7,18,4
