기간,웃긴대학,아프리카TV,인벤,도탁스,오유,트위터,일베,이종락싸,인스티즈,네이트판,쭉빵여시
2016/07,0,0,0,0,0,0,0,0,0,0,0
2016/08,0,0,0,0,0,0,0,0,0,0,1
2016/09,0,0,0,3,0,0,0,0,0,0,1
2016/10,0,0,3,3,0,0,30,0,0,0,1
2016/11,0,4,5,4,1,0,78,0,1,0,1
2016/12,0,10,37,16,3,0,238,1,1,0,1
2017/01,174,49,427,189,76,100,1832,27,12,7,24
2017/02,212,74,541,283,134,171,2828,48,19,13,50
2017/03,237,90,640,332,155,236,3505,66,22,18,76
2017/04,259,110,685,392,177,286,3812,70,25,19,126
2017/05,274,118,739,430,191,347,4155,76,25,21,225
2017/06,295,125,763,478,197,404,4464,83,30,22,355
